Date,Price,Open,High,Low,Vol.,Change %,EPU,GPRD,Gold
2024-01-18,"41,292.7","42,763.5","42,908.0","40,682.6",70.35K,-3.45%,244.285043112096,167.4893798828125,2018.5999755859375
2024-01-17,"42,768.7","43,139.1","43,192.3","42,211.8",50.44K,-0.87%,244.285043112096,176.20040893554688,2002.5999755859375
2024-01-16,"43,145.5","42,515.2","43,563.7","42,093.1",63.93K,1.49%,244.285043112096,193.3890686035156,2026.0
2024-01-15,"42,510.7","41,747.6","43,348.9","41,719.2",52.08K,1.83%,244.285043112096,106.3993911743164,2046.699951171875
2024-01-14,"41,746.1","42,851.3","43,069.4","41,739.6",37.14K,-2.58%,244.285043112096,107.43463134765624,2046.699951171875
2024-01-13,"42,851.3","42,836.7","43,248.6","42,443.3",48.18K,0.04%,244.285043112096,160.0274200439453,2046.699951171875
2024-01-12,"42,835.9","46,348.1","46,503.2","41,857.9",136.92K,-7.58%,244.285043112096,210.59278869628903,2046.699951171875
2024-01-11,"46,348.2","46,629.3","48,923.7","45,651.8",131.04K,-0.60%,244.285043112096,165.3104705810547,2014.300048828125
2024-01-10,"46,629.3","46,112.0","47,654.3","44,403.6",131.48K,1.08%,244.285043112096,118.09510040283205,2021.699951171875
2024-01-09,"46,129.0","46,959.2","47,880.1","45,333.9",100.09K,-1.77%,244.285043112096,241.2696990966797,2026.4000244140625
2024-01-08,"46,962.2","43,934.2","47,196.7","43,251.0",103.09K,6.91%,244.285043112096,106.6277084350586,2026.5999755859375
2024-01-07,"43,927.3","43,973.5","44,481.2","43,627.9",29.53K,-0.09%,244.285043112096,89.04752349853516,2042.4000244140625
2024-01-06,"43,967.9","44,156.6","44,203.2","43,424.0",24.26K,-0.43%,244.285043112096,131.24276733398438,2042.4000244140625
2024-01-05,"44,156.9","44,163.0","44,312.1","42,629.0",68.07K,0.00%,244.285043112096,167.4893798828125,2042.4000244140625
2024-01-04,"44,157.0","42,836.1","44,744.5","42,632.8",68.05K,3.08%,244.285043112096,180.68551635742188,2042.300048828125
2024-01-03,"42,836.1","44,943.7","45,492.7","40,888.3",117.65K,-4.69%,244.285043112096,142.89508056640625,2034.199951171875
2024-01-02,"44,943.7","44,182.9","45,885.4","44,166.0",97.84K,1.72%,244.285043112096,131.12246704101562,2064.39990234375
2024-01-01,"44,183.4","42,272.5","44,187.0","42,196.7",36.30K,4.52%,244.285043112096,167.60015869140625,2062.39990234375
2023-12-31,"42,272.5","42,141.6","42,878.8","41,971.4",35.58K,0.32%,227.15847512266788,110.08533477783205,2062.39990234375
2023-12-30,"42,136.7","42,074.7","42,592.2","41,527.3",35.18K,0.15%,227.15847512266788,190.9830322265625,2062.39990234375
2023-12-29,"42,072.4","42,581.1","43,108.0","41,459.0",60.98K,-1.19%,227.15847512266788,221.2848968505859,2062.39990234375
2023-12-28,"42,581.1","43,446.5","43,782.6","42,309.3",49.84K,-1.99%,227.15847512266788,122.68769073486328,2073.89990234375
2023-12-27,"43,446.5","42,514.3","43,676.7","42,115.3",50.10K,2.20%,227.15847512266788,180.18150329589844,2081.89990234375
2023-12-26,"42,513.3","43,579.9","43,594.9","41,796.6",56.03K,-2.44%,227.15847512266788,139.57447814941406,2058.199951171875
2023-12-25,"43,578.5","42,982.0","43,792.7","42,745.3",32.67K,1.39%,227.15847512266788,136.3998565673828,2057.10009765625
2023-12-24,"42,981.5","43,710.4","43,935.7","42,748.5",30.86K,-1.67%,227.15847512266788,52.91641998291016,2057.10009765625
2023-12-23,"43,710.4","43,968.9","43,994.6","43,325.7",21.29K,-0.59%,227.15847512266788,150.29798889160156,2057.10009765625
2023-12-22,"43,968.9","43,865.9","44,394.6","43,419.3",44.50K,0.23%,227.15847512266788,89.36782836914062,2057.10009765625
2023-12-21,"43,865.9","43,660.3","44,241.8","43,310.2",48.96K,0.47%,227.15847512266788,114.01953887939452,2039.0999755859375
2023-12-20,"43,662.8","42,259.5","44,278.7","42,217.2",70.19K,3.32%,227.15847512266788,143.77462768554688,2034.5
2023-12-19,"42,259.3","42,659.7","43,473.3","41,842.7",55.29K,-0.94%,227.15847512266788,187.75686645507812,2038.4000244140625
2023-12-18,"42,659.7","41,369.1","42,728.0","40,554.0",61.58K,3.12%,227.15847512266788,144.02468872070312,2026.300048828125
2023-12-17,"41,368.7","42,271.7","42,413.2","41,276.9",35.46K,-2.14%,227.15847512266788,90.89362335205078,2021.0999755859375
2023-12-16,"42,271.7","41,929.0","42,690.3","41,698.2",30.11K,0.82%,227.15847512266788,104.33283996582033,2021.0999755859375
2023-12-15,"41,929.0","43,025.2","43,080.7","41,697.9",45.28K,-2.55%,227.15847512266788,169.25527954101562,2021.0999755859375
2023-12-14,"43,025.9","42,886.3","43,392.7","41,591.2",59.15K,0.33%,227.15847512266788,148.67898559570312,2030.199951171875
2023-12-13,"42,884.5","41,487.0","43,417.5","40,649.3",63.11K,3.37%,227.15847512266788,192.79495239257812,1982.300048828125
2023-12-12,"41,487.0","41,256.1","42,070.9","40,691.5",57.04K,0.56%,227.15847512266788,167.4221954345703,1977.800048828125
2023-12-11,"41,256.1","43,791.0","43,806.3","40,277.1",105.19K,-5.79%,227.15847512266788,153.77490234375,1978.0
2023-12-10,"43,791.0","43,716.6","44,045.4","43,576.8",23.81K,0.17%,227.15847512266788,124.1243133544922,1998.300048828125
2023-12-09,"43,718.4","44,175.5","44,361.2","43,617.4",31.67K,-1.03%,227.15847512266788,106.34246826171876,1998.300048828125
2023-12-08,"44,175.5","43,288.3","44,697.6","43,108.4",58.44K,2.05%,227.15847512266788,153.5236358642578,1998.300048828125
2023-12-07,"43,289.7","43,774.4","44,046.4","42,860.5",63.09K,-1.11%,227.15847512266788,194.16470336914065,2029.9000244140625
2023-12-06,"43,776.3","44,076.2","44,283.7","43,466.7",72.52K,-0.68%,227.15847512266788,131.24276733398438,2030.5
2023-12-05,"44,076.2","41,989.6","44,424.1","41,424.9",96.84K,4.97%,227.15847512266788,89.69046020507812,2018.5
2023-12-04,"41,987.8","39,968.6","42,394.4","39,968.6",104.21K,5.05%,227.15847512266788,194.85691833496097,2024.0999755859375
2023-12-03,"39,970.2","39,456.8","40,178.9","39,280.3",35.27K,1.30%,227.15847512266788,110.7027816772461,2071.0
2023-12-02,"39,458.4","38,688.2","39,673.4","38,646.5",37.09K,1.99%,227.15847512266788,122.122314453125,2071.0
2023-12-01,"38,688.2","37,712.9","38,950.8","37,618.3",62.50K,2.59%,227.15847512266788,94.81410217285156,2071.0
2023-11-30,"37,712.9","37,857.6","38,144.4","37,509.2",33.53K,-0.38%,211.096236111179,178.9017333984375,2038.0999755859375
2023-11-29,"37,855.5","37,823.3","38,362.9","37,607.6",49.34K,0.09%,211.096236111179,88.7790298461914,2047.0999755859375
2023-11-28,"37,823.3","37,244.3","38,379.4","36,881.1",57.50K,1.54%,211.096236111179,184.384765625,2039.699951171875
2023-11-27,"37,248.6","37,451.8","37,563.3","36,751.5",45.24K,-0.54%,211.096236111179,166.35165405273438,2011.800048828125
2023-11-26,"37,451.8","37,786.4","37,819.1","37,166.3",29.20K,-0.89%,211.096236111179,87.86651611328125,2002.199951171875
2023-11-25,"37,787.0","37,718.6","37,887.4","37,599.9",16.09K,0.18%,211.096236111179,125.1051788330078,2002.199951171875
2023-11-24,"37,717.3","37,295.0","38,400.8","37,257.4",65.83K,1.14%,211.096236111179,152.79371643066406,2002.199951171875
2023-11-23,"37,293.1","37,410.8","37,642.5","36,915.3",32.35K,-0.31%,211.096236111179,175.45379638671875,1991.4000244140625
2023-11-22,"37,410.8","35,797.5","37,862.5","35,695.6",64.81K,4.46%,211.096236111179,191.44436645507812,1991.4000244140625
2023-11-21,"35,813.6","37,452.7","37,631.2","35,799.2",71.07K,-4.38%,211.096236111179,96.48255157470705,1999.300048828125
2023-11-20,"37,454.1","37,356.6","37,735.6","36,857.6",51.80K,0.27%,211.096236111179,204.90109252929688,1977.699951171875
2023-11-19,"37,354.2","36,568.6","37,504.6","36,393.3",26.14K,2.15%,211.096236111179,101.5645751953125,1981.5999755859375
2023-11-18,"36,568.6","36,617.5","36,845.2","36,220.6",20.88K,-0.07%,211.096236111179,111.65958404541016,1981.5999755859375
